# File generated by rsa_timing_lab
# Date: 2025-08-12T10:28:57.964707
#
trial_id,rsa_config_name,key_size,samples_used,success,attack_time,collection_time
always_sub_0us_ks64_key00,always_sub_0us,64,10000,False,15.790318012237549,22.325286865234375
always_sub_0us_ks64_key00,always_sub_0us,64,20000,False,36.67309880256653,22.325286865234375
always_sub_0us_ks64_key00,always_sub_0us,64,40000,False,57.51368498802185,22.325286865234375
always_sub_0us_ks64_key00,always_sub_0us,64,80000,False,126.53812217712402,22.325286865234375
always_sub_0us_ks64_key00,always_sub_0us,64,160000,False,247.86674284934998,22.325286865234375
always_sub_0us_ks64_key01,always_sub_0us,64,10000,False,14.981997728347778,22.642960786819458
always_sub_0us_ks64_key01,always_sub_0us,64,20000,False,30.844279050827026,22.642960786819458
always_sub_0us_ks64_key01,always_sub_0us,64,40000,False,59.067917823791504,22.642960786819458
always_sub_0us_ks64_key01,always_sub_0us,64,80000,False,119.22998809814453,22.642960786819458
always_sub_0us_ks64_key01,always_sub_0us,64,160000,False,229.2074522972107,22.642960786819458
always_sub_0us_ks64_key02,always_sub_0us,64,10000,False,15.608122825622559,22.59249711036682
always_sub_0us_ks64_key02,always_sub_0us,64,20000,False,31.245870113372803,22.59249711036682
always_sub_0us_ks64_key02,always_sub_0us,64,40000,False,61.41441202163696,22.59249711036682
always_sub_0us_ks64_key02,always_sub_0us,64,80000,False,131.31437492370605,22.59249711036682
always_sub_0us_ks64_key02,always_sub_0us,64,160000,False,255.37289190292358,22.59249711036682
always_sub_0us_ks64_key03,always_sub_0us,64,10000,False,14.503149032592773,23.07962918281555
always_sub_0us_ks64_key03,always_sub_0us,64,20000,False,32.05665993690491,23.07962918281555
always_sub_0us_ks64_key03,always_sub_0us,64,40000,False,61.277169942855835,23.07962918281555
always_sub_0us_ks64_key03,always_sub_0us,64,80000,False,117.09281396865845,23.07962918281555
always_sub_0us_ks64_key03,always_sub_0us,64,160000,False,218.14383006095886,23.07962918281555
always_sub_0us_ks64_key04,always_sub_0us,64,10000,False,13.551464796066284,21.85046696662903
always_sub_0us_ks64_key04,always_sub_0us,64,20000,False,31.701264142990112,21.85046696662903
always_sub_0us_ks64_key04,always_sub_0us,64,40000,False,54.66488599777222,21.85046696662903
always_sub_0us_ks64_key04,always_sub_0us,64,80000,False,119.96975374221802,21.85046696662903
always_sub_0us_ks64_key04,always_sub_0us,64,160000,False,255.2988839149475,21.85046696662903
always_sub_0us_ks64_key05,always_sub_0us,64,10000,False,15.795239210128784,22.80350112915039
always_sub_0us_ks64_key05,always_sub_0us,64,20000,False,36.89005208015442,22.80350112915039
always_sub_0us_ks64_key05,always_sub_0us,64,40000,False,60.9704749584198,22.80350112915039
always_sub_0us_ks64_key05,always_sub_0us,64,80000,False,121.39037728309631,22.80350112915039
always_sub_0us_ks64_key05,always_sub_0us,64,160000,False,237.36699628829956,22.80350112915039
always_sub_0us_ks64_key06,always_sub_0us,64,10000,False,15.633525848388672,23.330236196517944
always_sub_0us_ks64_key06,always_sub_0us,64,20000,False,30.75719690322876,23.330236196517944
always_sub_0us_ks64_key06,always_sub_0us,64,40000,False,60.994513750076294,23.330236196517944
always_sub_0us_ks64_key06,always_sub_0us,64,80000,False,129.43513798713684,23.330236196517944
always_sub_0us_ks64_key06,always_sub_0us,64,160000,False,250.39765000343323,23.330236196517944
always_sub_0us_ks64_key07,always_sub_0us,64,10000,False,15.544604301452637,22.833490133285522
always_sub_0us_ks64_key07,always_sub_0us,64,20000,False,27.92891502380371,22.833490133285522
